url,Bill,Billable Hours,NonBillable Hours,invoice,Note,project_name,project_id,list_name,list_id,name,description,parent,status,tags,date_created,due_date,date_done,date_closed,order_index,estimated_hours,actual_hours
https://app.clickup.com/t/86b3xa6k0,yes,1,0,Aug 2025,"task, product sync",AWA - 406 Golf Carts,90144176082,WP From Scratch,901407715270,Import products via Product and Price Sync,,,complete,backend;406 golf carts,2025-02-12 11:17,2025-02-21 3:00,2025-03-06 15:13,,119450523,0.00,0.00
https://app.clickup.com/t/86b3fhq23,yes,1,0,Aug 2025,administration,EER - Encore Events Rentals,90142340906,WP <> WP - Website Migration & Build,901407334792,Make a copy existing WordPress (all files and database) - new dev environment in our WP Engine,"create prod site copy in customer's wpengine account
create sftp login
add website@twelvelegsmarketing.com to wpengine portal, setup ssh key pair
add wordpress admin user accounts for 12legs developers",,complete,backend;encore events rentals,2025-01-10 7:49,2025-01-16 13:00,2025-01-17 9:18,,119446713,0.00,0.00
https://app.clickup.com/t/86b3mz5cr,no,0,0.5,Aug 2025,support,EER - Encore Events Rentals,90142340906,Website Development,901404396025,"Look into Wishlist glitch, share details if you find them","Issue Kendall had today, more photos provided below",,complete,encore events rentals,2025-01-23 12:33,2025-01-27 2:00,2025-01-28 8:29,,119447637,0.00,0.00
https://app.clickup.com/t/86b3m6w2b,yes,0.5,0,Aug 2025,change images,EER - Encore Events Rentals,90142340906,Website Development,901404396025,Implement 3 alternative icons for quicksearch ,"hey Ruben please spend no more than 1 hour on this. For whatever strange reason, the client says customers are complaining about the eye balls lol and want a new icon we can use... so 
https://www.encoreeventsrentals.com/product-category/new-products/
for ruben, ask him whats better, explain that customers dont like eye, they want to see a different icon for the quick view, what alternative icons can we recommend? dont spend more than 1 hour look other possible icons, please provide 3 recommendation after 1hour , tag Jordan in comments when found 3",,complete,encore events rentals,2025-01-22 8:21,2025-01-23 2:00,2025-01-28 10:30,,119447669,0.00,0.00
https://app.clickup.com/t/86b3m6thn,no,0,0.5,Aug 2025,estimate,EER - Encore Events Rentals,90142340906,Website Development,901404396025,Time estimate for implementing smart search bar plugin for Encore,"Notes from call: 3) smart search bar example lounge chairs https://idahoeventrent.com/
https://www.encoreeventsrentals.com/ - assigning both Slavko and Jeremy as Im not sure who implemented smart search bar 
implemented for eventrent, plugin that's intuitive, can be trained... recommend look into the name of the plug in we used for eventrent... see if it will jive with encore and what they currently have, anything else in mind, let us know... 
hey guys, weve used this plugin for event rent, what would it take to implement for encore, can we do bulk tagging for catergories, do you foreswee any issues, how many hours... ? 
Please provide time estimate to implement smart search bar plugin, provide feedback in comments and tag jordan, thanks!",,complete,encore events rentals,2025-01-22 8:17,2025-01-24 2:00,2025-02-10 10:27,,119448668,0.00,0.00
https://app.clickup.com/t/86b3h91mh,yes,1,0,Aug 2025,,EER - Encore Events Rentals,90142340906,Website Development,901404396025,Resync venues in Alert to be options in Customer Portal,"Hey Jeremy, Emily's latest ask. Do you know what she's referring to?",,complete,encore events rentals,2025-01-14 14:59,2025-01-17 2:00,2025-02-10 10:28,,119448670,0.00,0.00
https://app.clickup.com/t/86b3m6mmq,no,0,1,Aug 2025,estimate,EER - Encore Events Rentals,90142340906,Website Development,901404396025,Provide time estimate to new product category page with expanded product list without bogging down speed,"Hey Ruben and Jeremy, for now please review the notes and answer the question in bold, can you work magic in 2 hours? here is the task team: 2) expand all products from only top 4 popular products without bogging down speed
need to cap to certain hours... here is the scenario, site is fast, everyone is happy, image sizes they love, if need to be shrunk, thats okay. how do we find balance between speed, looks (both theyre happy with) instead of users having to click through so much, how do we show more products without making the user click so much and keeping site loading quickly? 
minimize clicks which retain, look feel and speed... For Ruben and Dev, as design ruben and jeremy to start... need to tell kendall how much this might cost... 
how many hours does it make sense to spend on brainstorming solutions? a few hours (2) 
can we come up with a few creative solutions for this scenario within 2 hours? Yes or no... 
If yes,  please design something the reduces the total number of clicks to see more selection 
If yes,  please leave a comment and share your thoughts from Dev side 
Starting point is click 1: https://www.encoreeventsrentals.com/product-category/table-setting/
Click 2: https://www.encoreeventsrentals.com/product-category/table-setting/dinnerware/
click 3: https://www.encoreeventsrentals.com/product-category/table-setting/dinnerware/accent-bb-plates/",,complete,encore events rentals,2025-01-22 8:11,2025-01-24 2:00,2025-02-10 10:28,,119448672,0.00,0.00
https://app.clickup.com/t/86b40whah,no,0,1,Aug 2025,bugfix,EER - Encore Events Rentals,90142340906,WP <> WP - Website Migration & Build,901407334792,Breakdance stopped working on Encore,"Stefan: I get this error - Breakdance\Lib\Vendor\Whoops\Exception\ErrorException: The use statement with non-compound name 'Twl' has no effect in /nas/content/live/encoreeventdev/wp-content/plugins/encore-webres-custportal/lib/twl-woocommerce-account-invoice-portal.php on 2

Jeremy: Can you please tell me what you were doing specifically at the time the error occurred and/or include screenshots. What activity is this error preventing you from doing?",,complete,encore events rentals,2025-02-21 6:18,,2025-02-21 7:16,,119449565,0.00,0.00
https://app.clickup.com/t/86b3fhq30,no,0,6,Aug 2025,project management,EER - Encore Events Rentals,90142340906,WP <> WP - Website Migration & Build,901407334792,Report daily on completed tasks,,,complete,all;encore events rentals,2025-01-10 7:49,,2025-02-28 7:07,,119449956,0.00,0.00
https://app.clickup.com/t/86b3x5vc0,yes,4,0,Aug 2025,project,EER - Encore Events Rentals,90142340906,WP <> WP - Website Migration & Build,901407334792,Backend - Customer Portal,"Users can have 1 or many customer keys associated
Customer Switcher at top of my-account menu
First page is ""Reservations and Open Tickets""
Reservations and Open Tickets - Reservations and Open Tickets are combined into one page
Outstanding Balances
Open Invoices
Final Invoices
Make a Payment",,complete,encore events rentals,2025-02-12 7:03,2025-02-27 2:00,2025-03-17 7:27,,119450913,0.00,0.00
